run,duration,hv,region,station,layer,chamber,online_report,has_dc,is_good,total,passed,eff,eff_low,eff_up
342728,10.509444444444444,690,1,1,1,1,1,True,True,159,137,0.8616352201257862,0.8286078030347995,0.8896075172892296
342728,10.509444444444444,690,1,1,1,2,1,True,True,342,264,0.7719298245614035,0.746947359559475,0.795221230080543
342728,10.509444444444444,690,1,1,1,3,1,True,True,222,173,0.7792792792792793,0.7478714483303638,0.8079729253413944
342728,10.509444444444444,690,1,1,1,4,1,True,True,385,292,0.7584415584415585,0.7346287827668702,0.780832939589999
342728,10.509444444444444,690,1,1,1,5,1,True,True,413,335,0.8111380145278451,0.7898718805885419,0.8308037359365326
342728,10.509444444444444,690,1,1,1,6,1,True,True,774,619,0.7997416020671835,0.7843037122531322,0.8143701267361403
342728,10.509444444444444,690,1,1,1,7,1,True,False,543,352,0.6482504604051565,0.6265585083805403,0.6693720034518877
342728,10.509444444444444,690,1,1,1,8,1,True,True,701,603,0.8601997146932953,0.8458422276479336,0.8734735575869124
342728,10.509444444444444,690,1,1,1,9,1,True,True,701,505,0.7203994293865906,0.7024077981539462,0.7377358051122652
342728,10.509444444444444,690,1,1,1,10,1,True,True,996,819,0.822289156626506,0.8093333570501878,0.8345707973592985
342728,10.509444444444444,690,1,1,1,11,1,True,True,432,257,0.5949074074074074,0.5699150090780495,0.619439165751621
342728,10.509444444444444,690,1,1,1,12,1,True,True,564,465,0.824468085106383,0.8069546076611568,0.8407675606308743
342728,10.509444444444444,690,1,1,1,13,2,True,False,463,283,0.6112311015118791,0.5872564098372657,0.6347026623575482
342728,10.509444444444444,690,1,1,1,14,0,True,False,437,0,0.0,0.0,0.004206233459257693
342728,10.509444444444444,690,1,1,1,15,1,True,True,192,122,0.6354166666666666,0.597397777163229,0.6719229693092397
342728,10.509444444444444,690,1,1,1,16,1,True,True,216,122,0.5648148148148148,0.528512908612789,0.6004767503797467
342728,10.509444444444444,690,1,1,1,17,1,True,True,119,80,0.6722689075630253,0.6236305178518097,0.717743909390069
342728,10.509444444444444,690,1,1,1,18,1,True,True,154,122,0.7922077922077922,0.7542585160128731,0.8259991304180363
342728,10.509444444444444,690,1,1,1,19,1,True,True,130,106,0.8153846153846154,0.7749041384730943,0.8504868963913395
342728,10.509444444444444,690,1,1,1,20,1,True,True,191,152,0.7958115183246073,0.7623870660680786,0.8258688211452918
342728,10.509444444444444,690,1,1,1,21,1,True,False,190,73,0.38421052631578945,0.34702536230894604,0.42270212793830664
342728,10.509444444444444,690,1,1,1,22,1,True,True,458,376,0.8209606986899564,0.8012128725052633,0.8392222572133193
342728,10.509444444444444,690,1,1,1,23,1,True,True,408,314,0.7696078431372549,0.7468447247479514,0.7909725979237927
342728,10.509444444444444,690,1,1,1,24,1,True,True,815,647,0.7938650306748466,0.7787026158436092,0.808275000560147
342728,10.509444444444444,690,1,1,1,25,1,True,True,661,525,0.794251134644478,0.7773035351078741,0.8102656458941285
342728,10.509444444444444,690,1,1,1,26,1,True,False,1168,563,0.4820205479452055,0.46698488011476635,0.49708791411345654
342728,10.509444444444444,690,1,1,1,27,1,True,True,937,754,0.8046958377801494,0.7908690801778067,0.8178452918435413
342728,10.509444444444444,690,1,1,1,28,1,True,False,1468,1081,0.7363760217983651,0.724366077790323,0.7480542438375561
342728,10.509444444444444,690,1,1,1,29,1,True,True,947,784,0.8278775079197466,0.8147175664690389,0.8403150292543881
342728,10.509444444444444,690,1,1,1,30,1,True,True,1152,837,0.7265625,0.7127896616612642,0.7399288697416782
342728,10.509444444444444,690,1,1,1,31,1,True,True,636,534,0.839622641509434,0.8237198088682952,0.8543998806321255
342728,10.509444444444444,690,1,1,1,32,1,True,True,809,529,0.65389369592089,0.6363523516985016,0.6710404933708167
342728,10.509444444444444,690,1,1,1,33,1,True,True,390,319,0.8179487179487179,0.7962630508766848,0.8378981622514944
342728,10.509444444444444,690,1,1,1,34,1,True,True,456,311,0.6820175438596491,0.6587039408657888,0.7044931193541901
342728,10.509444444444444,690,1,1,1,35,1,True,True,247,217,0.8785425101214575,0.8540545625833371,0.8996724307548898
