run,duration,hv,region,station,layer,chamber,online_report,has_dc,is_good,total,passed,eff,eff_low,eff_up
343042,1.4711111111111113,690,1,1,1,1,1,False,False,1,1,1.0,0.15849999999999995,1.0
343042,1.4711111111111113,690,1,1,1,2,0,False,False,7,0,0.0,0.0,0.23136799040508693
343042,1.4711111111111113,690,1,1,1,3,1,False,False,5,4,0.8,0.47561182090023846,0.9660749564895486
343042,1.4711111111111113,690,1,1,1,4,1,False,False,4,1,0.25,0.04222492667367913,0.6185461371881127
343042,1.4711111111111113,690,1,1,1,5,1,False,False,5,4,0.8,0.47561182090023846,0.9660749564895486
343042,1.4711111111111113,690,1,1,1,6,0,False,False,13,0,0.0,0.0,0.13211178782785
343042,1.4711111111111113,690,1,1,1,7,1,False,False,11,5,0.45454545454545453,0.2748823600035511,0.6442960095125703
343042,1.4711111111111113,690,1,1,1,8,1,False,False,11,7,0.6363636363636364,0.4410390864773018,0.8011962166423003
343042,1.4711111111111113,690,1,1,1,9,1,False,False,6,4,0.6666666666666666,0.38452309384300803,0.878673436647058
343042,1.4711111111111113,690,1,1,1,10,1,False,False,17,13,0.7647058823529411,0.6173178415013844,0.8737118691031753
343042,1.4711111111111113,690,1,1,1,11,1,False,False,12,5,0.4166666666666667,0.2504141478601509,0.5998371544358679
343042,1.4711111111111113,690,1,1,1,12,1,False,False,3,3,1.0,0.5411816829254449,1.0
343042,1.4711111111111113,690,1,1,1,13,0,False,False,13,0,0.0,0.0,0.13211178782785
343042,1.4711111111111113,690,1,1,1,14,0,False,False,13,0,0.0,0.0,0.13211178782785
343042,1.4711111111111113,690,1,1,1,15,1,False,False,8,6,0.75,0.5103218824726266,0.9097135168737231
343042,1.4711111111111113,690,1,1,1,16,1,False,False,6,0,0.0,0.0,0.2643494831610292
343042,1.4711111111111113,690,1,1,1,17,1,False,False,2,0,0.0,0.0,0.6018794152521124
343042,1.4711111111111113,690,1,1,1,18,1,False,False,2,2,1.0,0.3981205847478877,1.0
343042,1.4711111111111113,690,1,1,1,19,1,False,False,0,0,0.0,0.0,0.0
343042,1.4711111111111113,690,1,1,1,20,0,False,False,0,0,0.0,0.0,0.0
343042,1.4711111111111113,690,1,1,1,21,0,False,False,0,0,0.0,0.0,0.0
343042,1.4711111111111113,690,1,1,1,22,1,False,False,6,4,0.6666666666666666,0.38452309384300803,0.878673436647058
343042,1.4711111111111113,690,1,1,1,23,0,False,False,3,0,0.0,0.0,0.45881831707455506
343042,1.4711111111111113,690,1,1,1,24,1,False,False,10,6,0.6,0.39530770522020026,0.7800863533133552
343042,1.4711111111111113,690,1,1,1,25,1,False,False,6,4,0.6666666666666666,0.38452309384300803,0.878673436647058
343042,1.4711111111111113,690,1,1,1,26,1,False,False,16,8,0.5,0.34957037119247536,0.6504296288075246
343042,1.4711111111111113,690,1,1,1,27,2,False,False,11,0,0.0,0.0,0.15418499016803872
343042,1.4711111111111113,690,1,1,1,28,1,False,False,9,7,0.7777777777777778,0.5562428193820248,0.919944314767142
343042,1.4711111111111113,690,1,1,1,29,1,False,False,14,12,0.8571428571428571,0.6987914599621543,0.9488830719265033
343042,1.4711111111111113,690,1,1,1,30,1,False,False,20,10,0.5,0.36720028372953967,0.6327997162704604
343042,1.4711111111111113,690,1,1,1,31,1,False,False,10,9,0.9,0.7057694084713093,0.982891121380974
343042,1.4711111111111113,690,1,1,1,32,1,False,False,8,5,0.625,0.3899479193995551,0.8211529826191477
343042,1.4711111111111113,690,1,1,1,33,1,False,False,8,6,0.75,0.5103218824726266,0.9097135168737231
343042,1.4711111111111113,690,1,1,1,34,1,False,False,4,1,0.25,0.04222492667367913,0.6185461371881127
343042,1.4711111111111113,690,1,1,1,35,1,False,False,4,4,1.0,0.6309679744233361,1.0
343042,1.4711111111111113,690,1,1,1,36,1,False,False,0,0,0.0,0.0,0.0
343042,1.4711111111111113,690,1,1,2,1,1,False,False,1,1,1.0,0.15849999999999995,1.0
343042,1.4711111111111113,690,1,1,2,2,0,False,False,7,0,0.0,0.0,0.23136799040508693
343042,1.4711111111111113,690,1,1,2,3,1,False,False,5,4,0.8,0.47561182090023846,0.9660749564895486
343042,1.4711111111111113,690,1,1,2,4,1,False,False,5,3,0.6,0.2965149539379174,0.8534328187957689
343042,1.4711111111111113,690,1,1,2,5,1,False,False,6,5,0.8333333333333334,0.5458546295255214,0.9716481319524075
343042,1.4711111111111113,690,1,1,2,6,1,False,False,14,10,0.7142857142857143,0.5453234672944642,0.8455719388206412
343042,1.4711111111111113,690,1,1,2,7,1,False,False,12,10,0.8333333333333334,0.654233821748599,0.9402451459435223
343042,1.4711111111111113,690,1,1,2,8,1,False,False,10,10,1.0,0.8317693762720129,1.0
343042,1.4711111111111113,690,1,1,2,9,1,False,False,6,3,0.5,0.24298938075028056,0.7570106192497195
343042,1.4711111111111113,690,1,1,2,10,1,False,False,19,14,0.7368421052631579,0.5979494874317267,0.8454562136078216
343042,1.4711111111111113,690,1,1,2,11,1,False,False,12,6,0.5,0.323439173504511,0.676560826495489
343042,1.4711111111111113,690,1,1,2,12,1,False,False,3,3,1.0,0.5411816829254449,1.0
343042,1.4711111111111113,690,1,1,2,13,1,False,False,13,11,0.8461538461538461,0.6780327891930632,0.9449008451729809
343042,1.4711111111111113,690,1,1,2,14,1,False,False,15,7,0.4666666666666667,0.3136578388408107,0.6250147768013172
343042,1.4711111111111113,690,1,1,2,15,1,False,False,8,4,0.5,0.2794483891281243,0.7205516108718757
343042,1.4711111111111113,690,1,1,2,16,1,False,False,5,3,0.6,0.2965149539379174,0.8534328187957689
343042,1.4711111111111113,690,1,1,2,17,2,False,False,2,2,1.0,0.3981205847478877,1.0
343042,1.4711111111111113,690,1,1,2,18,2,False,False,1,0,0.0,0.0,0.8415
343042,1.4711111111111113,690,1,1,2,19,1,False,False,0,0,0.0,0.0,0.0
343042,1.4711111111111113,690,1,1,2,20,1,False,False,0,0,0.0,0.0,0.0
343042,1.4711111111111113,690,1,1,2,21,1,False,False,0,0,0.0,0.0,0.0
343042,1.4711111111111113,690,1,1,2,22,0,False,False,6,0,0.0,0.0,0.2643494831610292
343042,1.4711111111111113,690,1,1,2,23,1,False,False,3,3,1.0,0.5411816829254449,1.0
343042,1.4711111111111113,690,1,1,2,24,1,False,False,11,4,0.36363636363636365,0.1988037833576996,0.5589609135226983
343042,1.4711111111111113,690,1,1,2,25,1,False,False,7,7,1.0,0.7686320095949131,1.0
343042,1.4711111111111113,690,1,1,2,26,1,False,False,16,11,0.6875,0.531357745292573,0.8151727121532064
343042,1.4711111111111113,690,1,1,2,27,1,False,False,12,11,0.9166666666666666,0.7500636075246232,0.985722137294485
343042,1.4711111111111113,690,1,1,2,28,1,False,False,10,5,0.5,0.30472995432187655,0.6952700456781234
343042,1.4711111111111113,690,1,1,2,29,1,False,False,15,9,0.6,0.4384446986436364,0.7454798648390495
343042,1.4711111111111113,690,1,1,2,30,1,False,False,20,15,0.75,0.6161816821285747,0.8534538194065061
343042,1.4711111111111113,690,1,1,2,31,1,False,False,11,5,0.45454545454545453,0.2748823600035511,0.6442960095125703
343042,1.4711111111111113,690,1,1,2,32,1,False,False,8,7,0.875,0.642639579939446,0.9786598353495053
343042,1.4711111111111113,690,1,1,2,33,0,False,False,8,0,0.0,0.0,0.205665074151126
343042,1.4711111111111113,690,1,1,2,34,1,False,False,4,4,1.0,0.6309679744233361,1.0
343042,1.4711111111111113,690,1,1,2,35,1,False,False,3,3,1.0,0.5411816829254449,1.0
343042,1.4711111111111113,690,1,1,2,36,1,False,False,0,0,0.0,0.0,0.0
343042,1.4711111111111113,690,-1,1,1,1,1,False,False,2,2,1.0,0.3981205847478877,1.0
343042,1.4711111111111113,690,-1,1,1,2,1,False,False,3,1,0.3333333333333333,0.055899907673396906,0.748005291042124
343042,1.4711111111111113,690,-1,1,1,3,1,False,False,3,2,0.6666666666666666,0.25199470895787607,0.9441000923266031
343042,1.4711111111111113,690,-1,1,1,4,0,False,False,8,0,0.0,0.0,0.205665074151126
343042,1.4711111111111113,690,-1,1,1,5,1,False,False,6,3,0.5,0.24298938075028056,0.7570106192497195
343042,1.4711111111111113,690,-1,1,1,6,1,False,False,12,8,0.6666666666666666,0.48058123452585483,0.8185878639948858
343042,1.4711111111111113,690,-1,1,1,7,1,False,False,5,2,0.4,0.1465671812042311,0.7034850460620826
343042,1.4711111111111113,690,-1,1,1,8,1,False,False,16,12,0.75,0.5959547897187842,0.8655483621497483
343042,1.4711111111111113,690,-1,1,1,9,0,False,False,11,0,0.0,0.0,0.15418499016803872
343042,1.4711111111111113,690,-1,1,1,10,1,False,False,25,22,0.88,0.7768299059894268,0.944605644615038
343042,1.4711111111111113,690,-1,1,1,11,1,False,False,12,7,0.5833333333333334,0.40016284556413206,0.7495858521398491
343042,1.4711111111111113,690,-1,1,1,12,0,False,False,21,0,0.0,0.0,0.08397746983912302
343042,1.4711111111111113,690,-1,1,1,13,1,False,False,13,10,0.7692307692307693,0.5944192183200492,0.8920415273307574
343042,1.4711111111111113,690,-1,1,1,14,1,False,False,10,7,0.7,0.4916379235129324,0.8583907141890738
343042,1.4711111111111113,690,-1,1,1,15,1,False,False,7,3,0.42857142857142855,0.2059961646805767,0.6765181997340386
343042,1.4711111111111113,690,-1,1,1,16,1,False,False,12,4,0.3333333333333333,0.18141213600511416,0.5194187654741451
343042,1.4711111111111113,690,-1,1,1,17,0,False,False,3,0,0.0,0.0,0.45881831707455506
343042,1.4711111111111113,690,-1,1,1,18,1,False,False,5,4,0.8,0.47561182090023846,0.9660749564895486
343042,1.4711111111111113,690,-1,1,1,19,1,False,False,0,0,0.0,0.0,0.0
