run,duration,start,end
343774,11:02:04,2021-07-26 19:29:39,2021-07-27 6:31:43
343772,0:25:25,2021-07-26 19:01:41,2021-07-26 19:27:06
343769,0:14:32,2021-07-26 18:42:57,2021-07-26 18:57:29
343767,1:06:32,2021-07-26 17:34:54,2021-07-26 18:41:26
343763,0:07:34,2021-07-26 17:13:23,2021-07-26 17:20:57
343762,0:04:29,2021-07-26 17:05:21,2021-07-26 17:09:50
343756,0:06:44,2021-07-26 16:52:39,2021-07-26 16:59:23
343694,0:12:32,2021-07-26 12:25:03,2021-07-26 12:37:35
343683,0:31:20,2021-07-26 8:28:12,2021-07-26 8:59:32
343680,7:49:34,2021-07-25 22:40:14,2021-07-26 6:29:48
343677,5:32:27,2021-07-25 17:01:15,2021-07-25 22:33:42
343673,0:08:27,2021-07-25 16:49:24,2021-07-25 16:57:51
343670,0:00:49,2021-07-25 16:24:50,2021-07-25 16:25:39
343668,1:39:13,2021-07-25 14:40:52,2021-07-25 16:20:05
343663,0:12:17,2021-07-25 14:25:53,2021-07-25 14:38:10
343659,0:21:07,2021-07-25 13:53:23,2021-07-25 14:14:30
343654,0:01:18,2021-07-25 13:16:59,2021-07-25 13:18:17
343652,0:02:29,2021-07-25 13:14:10,2021-07-25 13:16:39
343650,0:01:45,2021-07-25 13:11:21,2021-07-25 13:13:06
343648,1:09:28,2021-07-25 11:51:56,2021-07-25 13:01:24
343646,0:26:12,2021-07-25 11:15:24,2021-07-25 11:41:36
343644,3:30:20,2021-07-25 7:35:28,2021-07-25 11:05:48
343642,11:58:34,2021-07-24 19:34:49,2021-07-25 7:33:23
343640,2:27:13,2021-07-24 17:05:10,2021-07-24 19:32:23
343638,2:12:17,2021-07-24 14:48:48,2021-07-24 17:01:05
343635,0:03:47,2021-07-24 14:35:58,2021-07-24 14:39:45
343633,0:07:53,2021-07-24 14:21:19,2021-07-24 14:29:12
343631,0:13:31,2021-07-24 14:07:15,2021-07-24 14:20:46
343629,0:02:22,2021-07-24 13:59:08,2021-07-24 14:01:30
343627,0:03:36,2021-07-24 13:53:47,2021-07-24 13:57:23
343625,6:25:29,2021-07-24 7:17:57,2021-07-24 13:43:26
343623,0:41:33,2021-07-24 6:29:46,2021-07-24 7:11:19
343621,3:39:25,2021-07-24 1:56:43,2021-07-24 5:36:08
343619,6:40:20,2021-07-23 19:14:34,2021-07-24 1:54:54
343617,0:01:55,2021-07-23 18:56:42,2021-07-23 18:58:37
343615,0:01:04,2021-07-23 18:48:46,2021-07-23 18:49:50
343613,0:00:46,2021-07-23 18:33:56,2021-07-23 18:34:42
343611,0:01:20,2021-07-23 18:30:53,2021-07-23 18:32:13
343609,1:23:23,2021-07-23 17:05:16,2021-07-23 18:28:39
343603,0:05:21,2021-07-23 16:49:24,2021-07-23 16:54:45
343598,0:12:28,2021-07-23 16:34:50,2021-07-23 16:47:18
343596,0:03:04,2021-07-23 16:30:00,2021-07-23 16:33:04
343588,0:15:46,2021-07-23 16:10:54,2021-07-23 16:26:40
343547,0:36:41,2021-07-23 15:27:26,2021-07-23 16:04:07
343543,0:19:27,2021-07-23 14:54:59,2021-07-23 15:14:26
343542,0:06:41,2021-07-23 14:40:17,2021-07-23 14:46:58
343540,0:07:19,2021-07-23 14:24:45,2021-07-23 14:32:04
343539,0:08:25,2021-07-23 14:11:41,2021-07-23 14:20:06
343538,0:04:53,2021-07-23 14:02:43,2021-07-23 14:07:36
343530,0:08:50,2021-07-23 12:34:03,2021-07-23 12:42:53
343515,3:12:52,2021-07-23 8:49:29,2021-07-23 12:02:21
343512,0:11:51,2021-07-23 8:35:10,2021-07-23 8:47:01
343509,0:14:09,2021-07-23 8:14:50,2021-07-23 8:28:59
343508,0:07:31,2021-07-23 8:04:34,2021-07-23 8:12:05
343507,0:01:14,2021-07-23 8:00:11,2021-07-23 8:01:25
343506,0:17:05,2021-07-23 7:41:18,2021-07-23 7:58:23
343505,0:00:49,2021-07-23 7:38:24,2021-07-23 7:39:13
343503,0:00:35,2021-07-23 7:35:34,2021-07-23 7:36:09
343501,0:05:31,2021-07-23 7:16:23,2021-07-23 7:21:54
343498,8:27:46,2021-07-22 22:33:02,2021-07-23 7:00:48
343496,3:00:20,2021-07-22 19:15:57,2021-07-22 22:16:17
343494,0:24:06,2021-07-22 18:39:51,2021-07-22 19:03:57
343492,0:09:24,2021-07-22 18:29:37,2021-07-22 18:39:01
343490,0:02:46,2021-07-22 18:24:18,2021-07-22 18:27:04
343488,0:05:16,2021-07-22 18:07:22,2021-07-22 18:12:38
343486,0:06:06,2021-07-22 17:58:28,2021-07-22 18:04:34
343484,0:10:59,2021-07-22 17:41:56,2021-07-22 17:52:55
343478,0:19:00,2021-07-22 16:53:42,2021-07-22 17:12:42
343473,0:07:49,2021-07-22 16:45:16,2021-07-22 16:53:05
343466,0:09:12,2021-07-22 16:14:41,2021-07-22 16:23:53
343464,0:07:34,2021-07-22 16:04:42,2021-07-22 16:12:16
343460,0:09:34,2021-07-22 15:54:49,2021-07-22 16:04:23
343457,0:26:23,2021-07-22 15:24:58,2021-07-22 15:51:21
343425,3:52:14,2021-07-22 11:27:39,2021-07-22 15:19:53
343422,0:13:01,2021-07-22 10:34:29,2021-07-22 10:47:30
343415,1:02:01,2021-07-22 9:18:29,2021-07-22 10:20:30
343409,0:29:26,2021-07-22 8:42:56,2021-07-22 9:12:22
343397,1:09:42,2021-07-22 7:26:47,2021-07-22 8:36:29
343392,0:17:02,2021-07-22 7:01:57,2021-07-22 7:18:59
343390,0:02:49,2021-07-22 6:45:48,2021-07-22 6:48:37
343389,0:15:11,2021-07-22 6:24:51,2021-07-22 6:40:02
343387,11:07:00,2021-07-21 18:28:05,2021-07-22 5:35:05
343386,0:13:50,2021-07-21 17:59:20,2021-07-21 18:13:10
343385,0:07:20,2021-07-21 17:49:04,2021-07-21 17:56:24
343384,0:05:04,2021-07-21 17:41:42,2021-07-21 17:46:46
343380,0:14:27,2021-07-21 17:24:57,2021-07-21 17:39:24
343375,0:05:37,2021-07-21 17:13:49,2021-07-21 17:19:26
343371,0:07:27,2021-07-21 17:01:40,2021-07-21 17:09:07
